text,label
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user",1
I'm so bored and fat and full and ridiculously overweight and rolls galore,3
"@user Flirt, simper, pout, repeat. Yuck.",0
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.",0
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @user will know,0
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",0
Nor hell a fury like a woman scorned -- William Congreve,0
@user Tried 2 get earlier flt 2day  @user Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind,3
"@user I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",3
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO",1
@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,1
@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,0
Thank you disney themed episode for letting me discover how amazing the @user are! #hilarious,1
Need a new outlet for #rage,0
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,1
@user @user wow. not heard this in forever. Random but. great #sting #xph,1
May the optimism of tomorrow be your foundation for today.,2
"@user @user @user \n\nAnd also, trying to find it on Youtube is a fucking nightmare.",0
@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain,0
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",1
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz",3
People who go the speed limit irritate me,0
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,1
@user @user ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,0
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,3
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,0
@user I am shy xD,3
After what just happened. In need to smoke.,0
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,0
"@user I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.",1
@user so this houses will get into my instestines and scare my poop and I'll shit my pants?,0
@user @user @user \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,0
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",3
Noooooo @user without #MaryBerry will be #awful #endofanera going 2b so #lost @user have bought a #lameduck there #notallaboutthemoney,0
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",1
"@user it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",0
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz",3
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,1
God we need a new goal keeper! They’re both horrific.,0
@user Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,3
"@user if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't",3
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",2
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,3
I am worried that she felt safe. #unhappy,3
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the,0
Nothing worse than an uber driver that can't drive. #awful,0
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",0
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,1
@user u know ion play that shit bout my weary brother,0
@user @user cmode grimrail made me want to eat angry bees,0
Happy Birthday @user #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,1
"@user I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",0
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,0
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @user + @user @ #VERGEcon. #NewGrandStrategy",3
@user &gt; huff louder,3
"@user lol I thought maybe, couldn't decide if there was levity or not",1
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment.,0
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged,0
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…",1
"@user 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful",0
"@user @user experience all plays a role in that, it's education and preparedness not fear",2
"@user appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful",0
Summer officially ends today. #sadness,3
@user seriously dude buy some bubble tape for your phones. #snap broke another phone,0
@user holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,0
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,3
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them,0
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed,0
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat,0
I was not made for this world. #empath #unhappy,3
i'm... nervous about this test rip,3
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love,1
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,3
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",3
I can't wait for you to listen to my new single 'Mystery' and my new album😋. #newmusic #newsingle #newalbum #2016 #popmusic #dark,1
Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,2
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",2
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,3
@user @user don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,0
will brawndo cure my depression? @user #Idiocracytoday,3
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,2
I dislike people who get offended by the littlest shit .,0
@user you look adorable awe,1
New play through tonight! Pretty much a blind run. Only played the game once and maybe got 2 levels it. #Rage #horror,0
@user ur road rage gives me anxiety.,0
@user brings back great memories of hilarity on #SATURDAYNIGHTLIVE,1
@user @user my god is @user a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,3
"significantly, with a #bitter smile, 'let me",0
@user just trying to go home tonight? A run on 2nd and 20 and a run on 3rd and 20? That's what champs do...#sike #losers #terrible,0
@user He didn't have many chances to show what he can do but looked lively and had a good shot tipped over the bar before the end.,1
Need advice on how to get out of this rut!!!!  #needmotivation,2
in health we did a think about depression and now i feel like i have it,3
@user It'll be easy to spot the parade of tiny weans in expensive jammies. Really is hilarious!,1
Muscled man with huge heart is messing with my brain and heart. #lost #confused,3
@user @user @user Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note.,0
@user I'm wearing all black tomorrow to mourn. 😭💔,3
@user Hes right when the Civil war starts it will be wall to wall terrorism and i don't fancy the Muzzy's chances,0
"@user *laughs louder this time, shaking my head* That was really cheesy, wasn't it?",1
When my 4yo is gone I blast gothcore music. She has #anxiety &amp; I can't listen 2 it around her bcuz it's 'too spooky'. *sigh* #momlife,3
@user glee,1
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',2
@user #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process,3
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",3
@user nick fury,0
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets #nightmare,3
@user @user don't get me started on town centre. Used to go every week.... not been for 18 months,3
"@user both, scrap *ll the rage instead",0
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,2
@user wow I'm just really sadden by that. Terrible,3
I meet new people and I had to grow up with the reality that people can be desgusting and fake and so I lost my cheerfulness and started to,0
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,3
These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,1
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",1
Why is it so windy? So glad I didn't ride my bike. #fear #wind,1
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",2
@user @user Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,0
@user @user they're both pretty awful when you look at them historically,0
broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,0
"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",1
@user 'Don't you know how nervous I was to see you?',3
@user Worst than going to the morgue to do a positive ID. #horrible Reuters,0
@user that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,0
"@user wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",3
I'm such a shy girl🙄,3
mmmm i'm kinda sad i hope i can shake this before school,3
Every day I think my #house 🏡 is #burning 🔥 but it's always just my neighbor burning their #toast! 😷😡🍞,1
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",0
@user #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,0
Everyone is raging,0
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,0
@user @user the refs are in GT's favor tonight.,1
NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,3
Watch this amazing live.ly broadcast by @user  #musically,1
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,3
@user @user Amal Clooney should try to prosecute  #Bush/ #Blair for #war crimes that turned our World upside down&amp;created #terrorism,0
"@user stop the presses, @user said/proposed something racist. #shocking",0
@user \nIsn't OBrien supposed to be some sort of offensive genius,0
Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance,1
"@user do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",3
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,2
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @user ❤️,1
@user you came in at silly o'clock and woke me up that's what happened #wasted #fuming,0
@user @user the gleesome threesome,1
@user I think you should do. Get the fashion police involved. #shocking,0
Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,3
@user relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,0
@user Thank you for follow and its a good website you have and cheering with no hassle.,1
@user people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,1
"When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that",1
@user that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,1
@user @user But I decided to be a bit lackadaisical about getting dressed to get groceries.,1
"@user optimism is he'll lose, that's actually a compromise :P",2
@user \n'It's alright!' She said cheerfully trying to make the moment fun,1
@user they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,0
Ppl like that irritate my soul,0
@user at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,2
Now that @user has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,1
@user He's just too raging to type properly... Ha ha!,0
Pakistan continues to treat #terror as a matter of state policy says @user #UriAttack,0
i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation,2
@user @user whatever Sam is holding on your tee looks like it's got a droop on 😂,1
"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",3
The Pats are awesome. Belichick is awesome ...they just are.,1
"Don't join @user they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",0
@user @user @user @user Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,3
"@user No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter",0
HMS Pinafore' time.\n\nI need some mirth.,1
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,3
"#COINCIDENCE??? When you turn on the TV, etc.&amp; listen &amp; watch, the objective is to #CaptureYourMind with #fear &amp; #depression. #FindGODNow!!!",3
"Turkish exhilaration: for a 30% shade off irruptive russian visitors this twelvemonth, gobbler is nephalism so...",1
When will the weeks full of Mondays end?? #disheartened,3
"@user I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",0
@user way to go #London. Nice job electing a #muslim #jihadist for mayor. Good luck with your future #terror attacks #sadiqkhan,3
Pull over #tonight and make your car #shake 😋💦,1
Feeling #gloomy,3
"B day next week, catch the sauce and watch the heaviness!",1
"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural",2
@user  cyber bully,0
@user I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama,1
10 page script due Friday for class. Who said I could do this MFA thing?  #GradSchoolProblems #someonetelltinafeytohireme,1
Riggs dumb ass hell lolol #hilarious #LethalWeapon,1
@user bully,0
India should now react to the uri attack..... #revenge,0
"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy",1
@user where is the outrage when black children get killed in the crossfire between blacks shooting each other?,0
@user a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,0
@user watched the cobblers loads this season how is gorre a pro footballler terrible,0
Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont,0
Why do people gotta start so much drama ? Shoot me ☹️,0
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,0
nooooo. Poor Blue Bell! not again. #sad,3
"@user @user #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",2
"@user I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",0
"If you think you're good to go already, don't worry about it.",2
"Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter",0
The bounty hunter things a bit lively,1
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,3
@user Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer,1
@user thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6,3
Always borrow money from a pessimist; he doesn't expect to be paid back.,2
7 pax enjoyed the #gloom @user @user,1
Condolences to the  JC and the Georges family..,3
"@user snap, seems to be a problem here",0
@user \nLikewise #death #cutting #despair,3
They gonna give this KKk police bitch the minimum sentence..just wattch,0
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,3
#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠,0
#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz,0
"Dehydrated, exhausted, stressed but still blessed. #optimism",2
US you need to band together not apart #nevertrump he promotes hatred and fuels,0
@user it's fucking dreadful for live footy matches,0
"@user @user \nbecause distrust in life , Argentina has a lot of heart and this President is worth every vote.",2
She's foaming at the lips the one between her hips @user one of many great lyrics,1
"@user I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",3
@user @user @user @user @user I understand your concerns but look at her foundation contributions,0
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @user I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",0
Fake people irritate me,0
"@user #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met",0
Lunatic Asylum: The place where optimism most flourishes.,2
Damn gud #premiere #LethalWeapon...#funny and #serious,1
@user @user all the bully,0
It appears my fire alarm disapproves of my cooking style,3
We're going to get City in the next round for a revenge.,0
"#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward #fear",0
"@user I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",1
"Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is trash.",0
"@user Thank you, happy birthday to you as well!",1
Watch this amazing live.ly broadcast by @user  #musically,1
"@user We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",1
Dear @user please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡,0
alternate reality where @user has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,3
"@user May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge",0
I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @user,0
"She began to squirm beneath @user struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",3
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",1
@user @user I was so looking forward to @user Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,0
something about opening mail is just...very pleasing,1
When you have 15 doe run the opposite side of you 🙁 #depression,3
@user you and that awful music can take a walk... right off a cliff. K. 😘,0
Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,1
"A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-",2
@user don't think Ian knew of Pavel. He knew about Charlie. I bet Rob will cackle with glee when he heard what has happened #thearchers,1
@user maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,1
"@user Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",0
@user lost my xt nova around hole 8 or 9 #sadness,3
At #UNGA Pakistan clearly shows the face of cowardliness and blatant lies! Its time for #India to act upon terror.,0
"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",1
@user Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,0
@user @user @user Kirby's Black Panther in a cool animated panel.,1
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday,2
... flat party and I instantly get bollocked about it. #fuming,0
"@user Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",3
@user #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @user #core246 #lilylou #fret &amp; #benoakley,1
"@user awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",3
@user wanna shake my tree??? 🍑🍑🍑🍑,1
@user he is.\nSure his mind was clouded but...],3
@user now you gotta do that with fast n furious,0
Ffs 🙈 when things come back to haunt you... cringe bad cringe 🙋🏼👀🔫 👈 what a terrible gun that is,0
Never let me see you frown,0
"A country that gave safe house to #Osama Bin #Laden is dangerous if not contained. #Pakistan is a #terror heaven, declare so @user",0
#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic,0
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,0
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,3
I honestly feel nothing towards either of my parents and it's pretty depressing,3
If I could turn anxiety off--I would. #nooneunderstands,3
@user (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),0
Karev better not be out!!! Or I am seriously done DONE with @user  #angry #unfair #ugh,0
"But 'for me not to worry, they'll get a glass guy over and bill us for it'",2
@user now I'm really excited for November! Hope they're not all horrid chavs though 😅,1
@user having a terrific game and not at all fazed #MCFC,1
@user @user @user I threaten you because I can pussy,0
@user fucked my coupon that goal!,0
Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool,1
"Aberdeen st Johnstone, let's see who can punt it the furthest #awful",0
@user A stumbling block to the pessimist is a stepping stone to the optimist.,2
Listening to Joey really helps me and my anger.,2
"@user The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",3
Another joyful encounter in Tribez &amp; Castlez! I just met Bartolomeo! Do you want to know who that is? Download the game and find out!,1
@user @user @user yes exactly &amp; he's sold out this country to #terror while #lying to cover it up,0
"Woke by #nightmare @ 3AM, couldn't sleep any more, so took a #UseAllTheHotWaterShower. Now I have time to read.",3
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter.,0
The Pats are awesome. Belichick is awesome ...they just are. #awestruck,1
David Gilmour's biggest compliment? B.B. King asked him after a gig if he was born in Mississippi #pinkfloyd #theblues #davidgilmour #blues,1
I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch,0
I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,0
After she threw me out I had to sedate her. With a damn horse tranquilizer.',0
@user I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,2
"@user @user Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",0
"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",0
Howl at the moon with @user at @user next Wednesday the 28th for a FREE double feature of SILVER BULLET and CURSED #horror,3
"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",3
India wants to #shake #hands with # pakistan ..... but as usual pakistan #cheat with every #indian \n\n..........shameless pakistan,0
@user The depth that you've sunk to. You're readership deserves more.,0
@user That was exhilarating hockey. They're still out if Russia wins in regulation I'm reading. #fuck,0
I wish you stayed in Da Gump I'll make you panic like the last rapper,0
Projection is perception. See it in someone else? You also at some level have that within you. #anger,0
@user actually maybe we were supposed to die and my donation saved our lives?? #optimism,2
"If you follow #Trump, a certified #bully there is no question you or your children may go to #War vs consumate #Diplomat @user",0
@user the tunnels! I shudder to think of the grimy tweets...,3
@user #Disney's 1994 #animated #musical #film #TheLionKing was influenced by #WilliamShakespeare's #Hamlet. Songs by #EltonJohn.,1
😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression,3
im tired of people telling me the worry about me when in fact they probably never gave a fuck about me,0
@user @user AA have the right of passage when it comes to the 'N' word.  Why should he insult him in his church.  Ignorant!,0
"@user sadly, war has often been the factor that jump starts US economic growth",3
When someone rudely says all women should have long hair and your inner feminist tries not to rage,0
"The animals, the animals\nTrap trap trap till the cage is full\nThe cage is full, stay awake\nIn the dark, count mistakes",3
"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride",2
"$8 million in box office doesnt do this movie justice. Political or not, #SnowdenMovie is a terrific thriller and love story. @user",1
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,0
"@user @user  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",0
That grudge you're holding keeps making an appearance because #God wants you to deal with it.,2
"@user shock horror handicap dodger is at the top 😂 close on the agg cup good , but think pressure will get to mark🤔",1
I'm girly in the sense that I always have lashes &amp; nails done but tomboy in the sense that black is my only color &amp; refuse the ruffle life,1
"From harboring Osama bin Laden to its relationship with Haqqani network, there is enough evidence to prove Pakistan is sponsoring terrorism",0
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n#funny #pun #punny #lol #hilarious",1
@user droop saw naked wrestling and asked 'What if I get a hole in one?' #jaymohrsports,1
@user you got this💙 #staystrong #smile #yourebeautiful,1
Nothing else could possibly put a damper on my day other than doing X-rays on someone with kickinnnnn ass breath 😿,0
@user The concept that a gay magazine feels like it has to cover terrible people -because they’re gay voices- seems all upside down,0
"@user But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'",3
@user Very thought provoking &amp; leads one to question what really happened.Very sad for all.,3
"Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #depression #pain",3
